Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 12, 2016",27.30,31.98,26.95,30.77,30.77,"2,131,249"
"Feb 05, 2016",31.64,32.45,26.05,26.21,26.21,"3,535,641"
"Jan 29, 2016",33.70,34.40,29.40,31.72,31.72,"3,324,706"
"Jan 22, 2016",29.84,34.82,29.25,33.22,33.22,"3,457,826"
"Jan 15, 2016",31.18,31.18,26.19,29.53,29.53,"1,901,199"
"Jan 08, 2016",33.30,34.34,29.93,31.20,31.20,"3,048,163"
"Jan 01, 2016",37.60,38.39,32.10,33.27,33.27,"2,023,336"
"Dec 25, 2015",38.00,38.09,36.22,37.04,37.04,"1,014,124"
"Dec 18, 2015",34.87,38.28,33.98,38.10,38.10,"1,296,912"
"Dec 11, 2015",36.63,37.88,34.53,34.95,34.95,"2,129,235"
"Dec 04, 2015",41.31,42.00,36.38,36.76,36.76,"3,073,461"
"Nov 27, 2015",43.25,43.30,39.84,41.08,41.08,"2,143,694"
"Nov 20, 2015",40.54,43.46,38.99,43.04,43.04,"1,762,294"
"Nov 13, 2015",41.61,42.84,39.89,40.54,40.54,"1,762,660"
"Nov 06, 2015",45.41,45.64,41.54,41.75,41.75,"2,429,820"
"Oct 30, 2015",45.74,48.36,45.12,45.20,45.20,"2,000,352"
"Oct 23, 2015",45.44,46.79,42.58,46.06,46.06,"2,037,517"
"Oct 16, 2015",46.87,47.50,44.86,45.38,45.38,"1,392,311"
"Oct 09, 2015",49.69,50.92,45.23,46.38,46.38,"2,101,912"
"Oct 02, 2015",45.07,50.07,43.97,49.43,49.43,"2,254,150"
"Sep 25, 2015",45.05,47.10,44.30,44.74,44.74,"1,712,536"
"Sep 18, 2015",46.89,47.15,43.71,44.91,44.91,"1,445,637"
"Sep 11, 2015",45.71,47.71,43.59,46.90,46.90,"1,846,431"
"Sep 04, 2015",46.68,47.23,43.36,45.92,45.92,"1,816,173"
"Aug 28, 2015",42.68,49.33,41.78,46.75,46.75,"3,366,000"
"Aug 21, 2015",41.03,42.86,37.75,42.56,42.56,"2,123,601"
"Aug 14, 2015",42.23,42.96,40.21,41.14,41.14,"1,319,682"
"Aug 07, 2015",44.82,45.34,41.91,42.23,42.23,"2,341,925"
"Jul 31, 2015",48.47,48.62,44.20,44.66,44.66,"1,719,648"
"Jul 24, 2015",48.79,49.52,46.68,48.52,48.52,"1,504,509"
"Jul 17, 2015",50.91,51.26,48.21,48.45,48.45,"1,224,449"
"Jul 10, 2015",52.48,53.89,50.84,50.91,50.91,"1,785,038"
"Jul 03, 2015",54.90,55.34,50.58,52.78,52.78,"1,884,961"
"Jun 26, 2015",59.66,59.96,56.50,56.93,56.93,"1,470,922"
"Jun 19, 2015",60.50,61.57,58.88,59.70,59.70,"1,243,512"
"Jun 12, 2015",60.55,61.38,58.73,60.45,60.45,"1,334,050"
"Jun 05, 2015",57.99,61.82,56.83,60.77,60.77,"2,018,533"
"May 29, 2015",57.97,61.58,57.72,58.00,58.00,"1,823,562"
"May 22, 2015",60.66,60.80,56.51,57.68,57.68,"1,216,034"
"May 15, 2015",59.67,60.94,57.09,60.72,60.72,"1,320,151"
"May 08, 2015",59.02,61.85,58.14,59.88,59.88,"1,952,881"
"May 01, 2015",59.79,62.58,58.32,58.94,58.94,"1,710,147"
"Apr 24, 2015",57.53,59.85,56.07,59.63,59.63,"1,612,163"
"Apr 17, 2015",56.56,58.41,54.85,57.74,57.74,"1,442,449"
"Apr 10, 2015",50.73,57.42,50.08,56.71,56.71,"2,123,733"
"Apr 03, 2015",49.47,54.13,49.47,50.79,50.79,"1,876,310"
"Mar 27, 2015",51.01,51.38,47.05,49.14,49.14,"2,010,204"
"Mar 20, 2015",43.99,52.48,43.31,51.43,51.43,"1,895,222"
"Mar 13, 2015",46.93,47.28,42.03,43.96,43.96,"1,437,177"
"Mar 06, 2015",50.89,51.22,46.86,47.05,47.05,"1,975,449"
"Feb 27, 2015",48.97,52.40,48.46,50.76,50.76,"2,032,210"
"Feb 20, 2015",51.24,51.85,47.80,48.17,48.17,"2,023,717"
"Feb 13, 2015",51.35,54.15,49.15,51.16,51.16,"1,338,557"
"Feb 06, 2015",50.86,53.99,48.05,51.21,51.21,"2,705,975"
"Jan 30, 2015",44.63,54.24,44.31,50.48,50.48,"2,784,836"
"Jan 23, 2015",46.63,47.76,43.58,44.53,44.53,"1,664,240"
"Jan 16, 2015",46.35,49.09,45.87,46.31,46.31,"1,381,599"
"Jan 09, 2015",48.92,51.27,44.20,46.25,46.25,"2,281,086"
"Jan 02, 2015",53.76,55.11,46.83,48.79,48.79,"1,918,296"
"Dec 26, 2014",55.86,56.59,52.44,53.27,53.27,"820,653"
"Dec 19, 2014",55.50,58.53,54.20,55.84,55.84,"1,109,827"
"Dec 12, 2014",59.17,59.57,53.60,54.11,54.11,"1,816,246"
"Dec 05, 2014",66.80,66.89,58.96,59.95,59.95,"1,778,075"
"Nov 28, 2014",73.50,73.56,63.72,66.81,66.81,"1,947,798"
"Nov 21, 2014",76.29,77.83,73.30,73.69,73.69,"1,022,897"
"Nov 14, 2014",74.36,76.44,73.25,75.58,75.58,"1,173,919"
"Nov 07, 2014",77.86,79.85,74.07,74.21,74.21,"1,746,841"
